cid000013342	ensp00000399155	adduct	inhibitor
cid000060853	ensp00000354859	antagonist	inhibitor
cid000002818	ensp00000354859	antagonist	inhibitor
cid000005355	ensp00000354859	antagonist	inhibitor
cid000003964	ensp00000354859	antagonist	inhibitor
cid000051767	ensp00000354859	antagonist	inhibitor
cid000004926	ensp00000354859	antagonist	inhibitor
cid000004917	ensp00000354859	antagonist	inhibitor
cid000003168	ensp00000354859	antagonist	inhibitor
cid000002726	ensp00000354859	antagonist	inhibitor
cid000002477	ensp00000354859	antagonist	inhibitor
cid000003559	ensp00000354859	antagonist	inhibitor
cid000005568	ensp00000354859	antagonist	inhibitor
cid000003372	ensp00000354859	antagonist	inhibitor
cid000005452	ensp00000354859	antagonist	inhibitor
cid000005073	ensp00000354859	antagonist	inhibitor
cid000005566	ensp00000354859	antagonist	inhibitor
cid000004748	ensp00000354859	antagonist	inhibitor
cid000017011	ensp00000354859	antagonist	inhibitor
cid000004078	ensp00000354859	antagonist	inhibitor
cid000018104	ensp00000354859	antagonist	inhibitor
cid000441185	ensp00000354859	antagonist	inhibitor
cid000016362	ensp00000354859	antagonist	inhibitor
cid000003151	ensp00000354859	antagonist	inhibitor
cid000005002	ensp00000354859	antagonist	inhibitor
cid000004168	ensp00000354859	antagonist	inhibitor
cid000002729	ensp00000354859	antagonist	inhibitor
cid000115237	ensp00000354859	antagonist	inhibitor
cid000003916	ensp00000354859	antagonist	inhibitor
cid000043008	ensp00000354859	antagonist	inhibitor
cid000006077	ensp00000354859	antagonist	inhibitor
cid000023897	ensp00000354859	antagonist	inhibitor
cid000062867	ensp00000354859	antagonist	inhibitor
cid000009429	ensp00000354859	antagonist	inhibitor
cid000005454	ensp00000354859	antagonist	inhibitor
cid000003396	ensp00000354859	antagonist	inhibitor
cid000071360	ensp00000354859	antagonist	inhibitor
cid000060149	ensp00000354859	antagonist	inhibitor
cid000156326	ensp00000354859	antagonist	inhibitor
cid000002159	ensp00000354859	antagonist	inhibitor
cid000213046	ensp00000354859	antagonist	inhibitor
cid000002781	ensp00000347299	antagonist	inhibitor
cid000002678	ensp00000347299	antagonist	inhibitor
cid000005405	ensp00000347299	antagonist	inhibitor
cid000006729	ensp00000347299	antagonist	inhibitor
cid000003162	ensp00000347299	antagonist	inhibitor
cid000006834	ensp00000347299	antagonist	inhibitor
cid000005588	ensp00000347299	antagonist	inhibitor
cid000002913	ensp00000347299	antagonist	inhibitor
cid000003957	ensp00000347299	antagonist	inhibitor
cid000002726	ensp00000347299	antagonist	inhibitor
cid000003658	ensp00000347299	antagonist	inhibitor
cid000002761	ensp00000347299	antagonist	inhibitor
cid000002247	ensp00000347299	antagonist	inhibitor
cid000019861	ensp00000347299	antagonist	inhibitor
cid000004034	ensp00000347299	antagonist	inhibitor
cid000002564	ensp00000347299	antagonist	inhibitor
cid000003241	ensp00000347299	antagonist	inhibitor
cid000060864	ensp00000347299	antagonist	inhibitor
cid000004940	ensp00000347299	antagonist	inhibitor
cid000005587	ensp00000347299	antagonist	inhibitor
cid000014676	ensp00000347299	antagonist	inhibitor
cid000003827	ensp00000347299	antagonist	inhibitor
cid000003348	ensp00000347299	antagonist	inhibitor
cid000124087	ensp00000347299	antagonist	inhibitor
cid000002267	ensp00000347299	antagonist	inhibitor
cid000010660	ensp00000347299	antagonist	inhibitor
cid000004927	ensp00000347299	antagonist	inhibitor
cid000004066	ensp00000347299	antagonist	inhibitor
cid000003100	ensp00000347299	antagonist	inhibitor
cid000003219	ensp00000347299	antagonist	inhibitor
cid000003915	ensp00000347299	antagonist	inhibitor
cid000002725	ensp00000347299	antagonist	inhibitor
cid000003158	ensp00000347299	antagonist	inhibitor
cid000003103	ensp00000347299	antagonist	inhibitor
cid000004601	ensp00000347299	antagonist	inhibitor
cid000006726	ensp00000347299	antagonist	inhibitor
cid000002444	ensp00000347299	antagonist	inhibitor
cid000005574	ensp00000347299	antagonist	inhibitor
cid000026035	ensp00000347299	antagonist	inhibitor
cid000011290	ensp00000347299	antagonist	inhibitor
cid000004761	ensp00000347299	antagonist	inhibitor
cid000002795	ensp00000347299	antagonist	inhibitor
cid000002350	ensp00000347299	antagonist	inhibitor
cid000004992	ensp00000347299	antagonist	inhibitor
cid000002200	ensp00000347299	antagonist	inhibitor
cid000025294	ensp00000347299	antagonist	inhibitor
cid000021855	ensp00000347299	antagonist	inhibitor
cid000003781	ensp00000347299	antagonist	inhibitor
cid000002710	ensp00000347299	antagonist	inhibitor
cid000031304	ensp00000023897	antagonist	inhibitor
cid000009034	ensp00000023897	antagonist	inhibitor
cid003033538	ensp00000369960	antagonist	inhibitor
cid000002092	ensp00000369960	antagonist	inhibitor
cid000003168	ensp00000369960	antagonist	inhibitor
cid000004893	ensp00000369960	antagonist	inhibitor
cid000002726	ensp00000369960	antagonist	inhibitor
cid000003157	ensp00000369960	antagonist	inhibitor
cid000003869	ensp00000369960	antagonist	inhibitor
cid000005452	ensp00000369960	antagonist	inhibitor
cid000005775	ensp00000369960	antagonist	inhibitor
cid000060146	ensp00000369960	antagonist	inhibitor
cid000005504	ensp00000369960	antagonist	inhibitor
cid000005566	ensp00000369960	antagonist	inhibitor
cid000017011	ensp00000369960	antagonist	inhibitor
cid000004768	ensp00000369960	antagonist	inhibitor
cid000002585	ensp00000369960	antagonist	inhibitor
cid000005401	ensp00000369960	antagonist	inhibitor
cid000009429	ensp00000369960	antagonist	inhibitor
cid000656628	ensp00000369960	antagonist	inhibitor
cid000060853	ensp00000367959	antagonist	inhibitor
cid000004163	ensp00000367959	antagonist	inhibitor
cid000002160	ensp00000367959	antagonist	inhibitor
cid000004585	ensp00000367959	antagonist	inhibitor
cid000002818	ensp00000367959	antagonist	inhibitor
cid000004205	ensp00000367959	antagonist	inhibitor
cid000003964	ensp00000367959	antagonist	inhibitor
cid000002913	ensp00000367959	antagonist	inhibitor
cid000002726	ensp00000367959	antagonist	inhibitor
cid000004543	ensp00000367959	antagonist	inhibitor
cid000005533	ensp00000367959	antagonist	inhibitor
cid000005452	ensp00000367959	antagonist	inhibitor
cid000005073	ensp00000367959	antagonist	inhibitor
cid000004199	ensp00000367959	antagonist	inhibitor
cid000017011	ensp00000367959	antagonist	inhibitor
cid000002895	ensp00000367959	antagonist	inhibitor
cid000004078	ensp00000367959	antagonist	inhibitor
cid000003158	ensp00000367959	antagonist	inhibitor
cid000004449	ensp00000367959	antagonist	inhibitor
cid000002995	ensp00000367959	antagonist	inhibitor
cid000005002	ensp00000367959	antagonist	inhibitor
cid000060795	ensp00000367959	antagonist	inhibitor
cid000002729	ensp00000367959	antagonist	inhibitor
cid000002801	ensp00000367959	antagonist	inhibitor
cid000115237	ensp00000367959	antagonist	inhibitor
cid000006077	ensp00000367959	antagonist	inhibitor
cid000062867	ensp00000367959	antagonist	inhibitor
cid000009429	ensp00000367959	antagonist	inhibitor
cid000005454	ensp00000367959	antagonist	inhibitor
cid000071360	ensp00000367959	antagonist	inhibitor
cid000060149	ensp00000367959	antagonist	inhibitor
cid000156326	ensp00000367959	antagonist	inhibitor
cid000068867	ensp00000367959	antagonist	inhibitor
